Name,Authors,Price,Image-url,Rating,NumberOfPages,Format,Publication date,Publisher,Language,ISBN10,ISBN13,Publication City,Publication Country,Width,Height,Thickness,Weight
"Agriculture 5.0 : Artificial Intelligence, IoT and Machine Learning","Latief Ahmad, Firasath Nabi",4777.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3676/9780367646080.jpg,,224.0,Hardback,2021-03-25,Taylor & Francis Ltd,English,0367646080,9780367646080,London,United Kingdom,,,,
"Machine Intelligence : Learning, Inference, and Evolution",Hamid Tizhoosh,3267.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1381/9781138196223.jpg,,450.0,Hardback,2021-06-15,Taylor & Francis Ltd,English,1138196223,9781138196223,London,United Kingdom,,,,
"Learn Python Programming : A Beginners Crash Course on Python Language for Getting Started with Machine Learning, Data Science and Data Analytics",Russel R Russo,786.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8014/9781801478151.jpg,,200.0,Hardback,2020-12-17,Zanshin Honya Ltd,English,1801478155,9781801478151,,,,,,
"Learn Python : This Book Includes: Crash Course and Coding. A Guide to Master Python, Data Science and Analysis. Advanced Methods to Learn How to Create Codes with This Machine Learning Tool",Eric Wall,844.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9140/9781914016295.jpg,,264.0,Hardback,2020-10-07,Aicem Ltd,English,1914016297,9781914016295,,,152.0,229.0,16.0,522.0
Knowledge Acquisition: Selected Research and Commentary : A Special Issue of Machine Learning on Knowledge Acquisition,Sandra Marcus,3291.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7923/9780792390626.jpg,,152.0,Hardback,1990-03-01,Springer,English,0792390628,9780792390626,Dordrecht,Netherlands,155.0,235.0,11.18,890.0
"Smart Agriculture : Emerging Pedagogies of Deep Learning, Machine Learning and Internet of Things","Govind Singh Patel, Amrita Rai, Nripendra Narayan Das, R.P. Singh",3017.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3675/9780367535803.jpg,,244.0,Hardback,2021-01-15,Taylor & Francis Ltd,English,0367535807,9780367535803,London,United Kingdom,,,,
Ensemble Learning: Pattern Classification Using Ensemble Methods,Lior Rokach,3166.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/8112/9789811201950.jpg,1.0,300.0,Hardback,2019-03-25,World Scientific Publishing Co Pte Ltd,English,9811201951,9789811201950,Singapore,Singapore,,,,
Learning Statistics Through Playing Cards,Thomas R. Knapp,2929.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7619/9780761901082.jpg,2.0,111.0,Hardback,1996-04-02,SAGE Publications Inc,English,0761901086,9780761901082,Thousand Oaks,United States,152.0,229.0,13.0,318.0
Machines on the Farm,Sian Smith,505.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4062/9781406259384.jpg,3.0,24.0,Hardback,2013-09-12,Pearson Education Limited,English,1406259381,9781406259384,Harlow,United Kingdom,195.0,220.0,7.87,272.0
Learning and Decision-Making from Rank Data,"Lirong Xia, Ronald Brachman, Francesca Rossi, Peter Stone",2570.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6817/9781681734422.jpg,,159.0,Hardback,2019-02-28,Morgan & Claypool Publishers,English,1681734427,9781681734422,San Rafael,United States,190.0,235.0,11.18,494.42
Ghosts in the Machine : Rethinking Learning Work and Culture in Air Traffic Control,Christine Owen,5143.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4094/9781409452904.jpg,,168.0,Hardback,2017-10-10,Taylor & Francis Ltd,English,1409452905,9781409452904,,,156.0,235.0,15.24,386.0
"The Times Machine! : Learn Multiplication and Division. . . Like, Yesterday!","Danica McKellar, Josee Masse",833.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1019/9781101934036.jpg,4.56,232.0,Hardback,2020-06-30,Crown Books for Young Readers,English,1101934034,9781101934036,,,198.0,244.0,18.0,816.0
Interactions on Digital Tablets in the Context of 3D Geometry Learning,David Bertolo,3699.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8482/9781848219267.jpg,,224.0,Hardback,2016-08-08,ISTE Ltd and John Wiley & Sons Inc,English,1848219261,9781848219267,London,United Kingdom,156.0,241.0,19.0,508.0
Digital Mapping of Soil Landscape Parameters : Geospatial Analyses using Machine Learning and Geomatics,"Pradeep Kumar Garg, Rahul Dev Garg, Gaurav Shukla, Hari Shanker Srivastava",2946.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/8115/9789811532375.jpg,,142.0,Hardback,2020-02-21,"Springer Verlag, Singapore",English,9811532370,9789811532375,Singapore,Singapore,155.0,235.0,11.18,418.0
Metalearning : Applications to Automated Machine Learning and Data Mining,"Pavel Brazdil, Jan N. Van Rijn, Carlos Soares, Joaquin Vanschoren",4023.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0306/9783030670238.jpg,,382.0,Hardback,2021-04-23,Springer Nature Switzerland AG,English,3030670236,9783030670238,Cham,Switzerland,,,,
"Detecting Regime Change in Computational Finance : Data Science, Machine Learning and Algorithmic Trading","Jun Chen, Edward P K Tsang",2683.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3675/9780367536282.jpg,,138.0,Hardback,2020-09-15,Taylor & Francis Ltd,English,0367536285,9780367536282,London,United Kingdom,156.0,234.0,15.0,463.0
Categorization by Humans and Machines : Advances in Research and Theory,"Glenn V. Nakamura, Douglas L. Medin, Roman Taraban",1584.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1254/9780125433297.jpg,,552.0,Hardback,1993-10-22,Elsevier Science Publishing Co Inc,English,0125433298,9780125433297,San Diego,United States,152.0,229.0,41.15,950.0
Predicting Hotspots : Using Machine Learning to Understand Civil Conflict,"Atin Basuchoudhary, James T. Bang, Tinni Sen, John David",2715.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4985/9781498520676.jpg,,178.0,Hardback,2018-09-15,Lexington Books,English,1498520677,9781498520676,"Lanham, MD",United States,159.0,231.0,20.0,454.0
"Medical Imaging : Artificial Intelligence, Image Recognition, and Machine Learning Techniques","K.C. Santosh, Sameer Antani, DS Guru, Nilanjan Dey",3712.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3671/9780367139612.jpg,,238.0,Hardback,2019-09-05,Taylor & Francis Ltd,English,0367139618,9780367139612,London,United Kingdom,156.0,235.0,20.32,454.0
Business Forecasting : The Emerging Role of Artificial Intelligence and Machine Learning,"Michael Gilliland, Len Tashman, Udo Sglavo",1509.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1197/9781119782476.jpg,,352.0,Hardback,2021-04-21,John Wiley & Sons Inc,English,1119782473,9781119782476,New York,United States,,,,
On the path to AI : Law's prophecies and the conceptual foundations of the machine learning age,"Thomas D. Grant, Damon J. Wischik",1723.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0304/9783030435813.jpg,2.5,147.0,Hardback,2020-06-03,Springer Nature Switzerland AG,English,3030435814,9783030435813,Cham,Switzerland,148.0,210.0,11.18,360.0
SCADA Security : Machine Learning Concepts for Intrusion Detection and Prevention,"Abdulmohsen Almalawi, Zahir Tari, Adil Fahad, Xun Yi",3412.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1196/9781119606031.jpg,,224.0,Hardback,2021-01-27,John Wiley and Sons Ltd,English,1119606039,9781119606031,Hoboken,United States,157.0,231.0,18.0,476.0
Intelligent Security Systems : Using Artificial Intelligence and Machine Learning for Computer Security,Leon Reznik,2489.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1197/9781119771531.jpg,,300.0,Hardback,2021-10-21,John Wiley and Sons Ltd,English,1119771536,9781119771531,Hoboken,United States,,,,
"Learn Python Programming for Beginners : The Best Step-by-Step Guide for Coding with Python, Great for Kids and Adults. Includes Practical Exercises on Data Analysis, Machine Learning and More.",Flynn Fisher,600.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8007/9781800762534.jpg,,70.0,Hardback,2020-10-18,Flynn Fisher,English,1800762534,9781800762534,,,127.0,203.0,6.0,195.0
Data Analysis for Direct Numerical Simulations of Turbulent Combustion : From Equation-Based Analysis to Machine Learning,"Heinz Pitsch, Antonio Attili",3718.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0304/9783030447175.jpg,,292.0,Hardback,2020-07-11,Springer Nature Switzerland AG,English,3030447170,9783030447175,Cham,Switzerland,155.0,235.0,17.53,623.0
Nicky The Robot : Machine Learning For Kids: How Robots Perceive the World,Rocket Baby Club,580.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6437/9781643701790.jpg,,40.0,Hardback,2018-07-28,Rocket Baby Club,English,1643701797,9781643701790,,,216.0,216.0,6.0,327.0
Remote Sensing and GIS : Space Technology and Machine Learning for Agricultural and Landscape Analytics,"Alok Bhushan Mukherjee, Nitesh Kumar Awasthi, Akhouri Pramod Krishna, Nirmal Kumar, Bijay Singh Mipun",5657.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1197/9781119761914.jpg,,350.0,Hardback,2021-09-15,John Wiley & Sons Inc,English,1119761913,9781119761914,New York,United States,,,,
"Intelligent Sensor Networks : The Integration of Sensor Networks, Signal Processing and Machine Learning","Fei Hu, Qi Hao",4839.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4398/9781439892817.jpg,4.0,674.0,Hardback,2012-12-27,Taylor & Francis Inc,English,1439892814,9781439892817,Bosa Roca,United States,178.0,254.0,40.64,1383.0
Philosophical Problems of Statistical Inference : Learning from R.A. Fisher,T. Seidenfeld,3249.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/0277/9789027709653.jpg,,247.0,Hardback,1979-08-31,Springer,English,9027709653,9789027709653,Dordrecht,Netherlands,156.0,234.0,21.59,1220.0
"Robotics : What Beginners Need to Know about Robotic Process Automation, Mobile Robots, Artificial Intelligence, Machine Learning, Autonomous Vehicles, Speech Recognition, Drones, and Our Future",Neil Wilkins,828.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6474/9781647481216.jpg,3.33,118.0,Hardback,2019-12-22,Bravex Publications,English,164748121X,9781647481216,,,152.0,229.0,8.0,331.0
Logistic Regression : A Self-Learning Text,"David G. Kleinbaum, Mitchel Klein",3260.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4419/9781441917416.jpg,4.22,702.0,Hardback,2010-07-15,Springer-Verlag New York Inc.,English,1441917411,9781441917416,"New York, NY",United States,178.0,254.0,38.1,3210.0
Targeted Learning in Data Science : Causal Inference for Complex Longitudinal Studies,"Mark J. van der Laan, Sherri Rose",2309.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3196/9783319653037.jpg,,640.0,Hardback,2018-04-10,Springer International Publishing AG,English,3319653032,9783319653037,Cham,Switzerland,155.0,235.0,36.58,1184.0
The Emergence of Technology for Automated Healthcare : Internet of Things and Deep Learning Models,"Monika Mangla, Nonita Sharma, Poonam Mittal, Vaishali Mehta, Thirunavukkarasu K, Shahnawaz Khan",5657.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1197/9781119791720.jpg,,350.0,Hardback,2022-08-31,John Wiley & Sons Inc,English,1119791723,9781119791720,New York,United States,,,,
"Artificial Intelligence : An Essential Beginner's Guide to AI, Machine Learning, Robotics, The Internet of Things, Neural Networks, Deep Learning, Reinforcement Learning, and Our Future",Neil Wilkins,826.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9509/9781950924806.jpg,5.0,114.0,Hardback,2019-11-26,CH Publications,English,1950924807,9781950924806,,,152.0,229.0,8.0,322.0
"Lognormality Principle And Its Applications In E-security, E-learning And E-health, The","Rejean Plamondon, Angelo Marcelli, Miguel Angel Ferrer-ballester",4626.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/8112/9789811226823.jpg,,448.0,Hardback,2021-03-12,World Scientific Publishing Co Pte Ltd,English,9811226822,9789811226823,Singapore,Singapore,,,,
"The Cross-Entropy Method : A Unified Approach to Combinatorial Optimization, Monte-Carlo Simulation and Machine Learning","Reuven Y. Rubinstein, Dirk P. Kroese",3713.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3872/9780387212401.jpg,2.67,301.0,Hardback,2004-08-30,Springer-Verlag New York Inc.,English,038721240X,9780387212401,"New York, NY",United States,155.0,235.0,20.32,670.0
"Artificial Intelligence : What You Need to Know About Machine Learning, Robotics, Deep Learning, Recommender Systems, Internet of Things, Neural Networks, Reinforcement Learning, and Our Future",Neil Wilkins,823.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6474/9781647481698.jpg,3.36,106.0,Hardback,2019-12-22,Moliva AB,English,1647481694,9781647481698,,,,,,
"Artificial Intelligence : The Ultimate Guide to AI, The Internet of Things, Machine Learning, Deep Learning + a Comprehensive Guide to Robotics",Neil Wilkins,754.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6474/9781647483678.jpg,,226.0,Hardback,2020-01-19,Moliva AB,English,1647483670,9781647483678,,,,,,
"Lognormality Principle And Its Applications In E-security, E-learning And E-health, The","Rejean Plamondon, Angelo Marcelli, Miguel Angel Ferrer-ballester",4626.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/8112/9789811226823.jpg,,448.0,Hardback,2021-03-12,World Scientific Publishing Co Pte Ltd,English,9811226822,9789811226823,Singapore,Singapore,,,,
Python Programming Crash Course : A Beginners to Learn Python Computer Language .Introduction to Machine Learning and Artificial Intelligence,Peter Treu,858.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8014/9781801449823.jpg,,172.0,Hardback,2020-12-07,Charlie Creative Lab,English,1801449821,9781801449823,,,152.0,229.0,14.0,426.0
"Knowledge Graphs : Fundamentals, Techniques, and Applications","Mayank Kejriwal, Craig Knoblock",1383.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2620/9780262045094.jpg,,504.0,Hardback,2021-03-30,MIT Press Ltd,English,0262045095,9780262045094,,,,,,
Inpainting and Denoising Challenges,"Sergio Escalera, Stephane Ayache, Jun Wan, Meysam Madadi, Umut Guclu, Xavier Baro",1759.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0302/9783030256135.jpg,,144.0,Hardback,2019-10-17,Springer Nature Switzerland AG,English,3030256138,9783030256135,Cham,Switzerland,155.0,235.0,11.18,401.0
Gesture Recognition,"Sergio Escalera, Isabelle Guyon, Vassilis Athitsos",4032.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3195/9783319570204.jpg,,578.0,Hardback,2017-08-17,Springer International Publishing AG,English,331957020X,9783319570204,Cham,Switzerland,155.0,235.0,37.34,1120.37
The NIPS '17 Competition: Building Intelligent Systems,"Sergio Escalera, Markus Weimer",2230.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3199/9783319940410.jpg,,287.0,Hardback,2018-09-28,Springer International Publishing AG,English,3319940414,9783319940410,Cham,Switzerland,155.0,235.0,17.53,617.0
AI at War : How Big Data Artificial Intelligence and Machine Learning Are Changing Naval Warfare,"Sam J. Tangredi, George V. Galdorisi",1256.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6824/9781682476062.jpg,,432.0,Hardback,2021-03-30,Naval Institute Press,English,1682476065,9781682476062,Annopolis,United States,,,,
"Human Recognition in Unconstrained Environments : Using Computer Vision, Pattern Recognition and Machine Learning Methods for Biometrics","Maria De Marsico, Michele Nappi, Hugo Pedro Proenca",3032.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0810/9780081007051.jpg,,248.0,Hardback,2017-01-13,ELSEVIER SCIENCE & TECHNOLOGY,English,0081007051,9780081007051,London,United Kingdom,191.0,235.0,17.78,670.0
"New Age Analytics : Transforming the Internet through Machine Learning, IoT, and Trust Modeling","Gulshan Shrivastava, Sheng-lung Peng, Himani Bansal, Kavita Sharma, Meenakshi Sharma",4219.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7718/9781771888752.jpg,,344.0,Hardback,2020-08-24,Apple Academic Press Inc.,English,177188875X,9781771888752,Oakville,Canada,156.0,235.0,22.86,835.0
The Demand for Life Insurance : Dynamic Ecological Systemic Theory Using Machine Learning Techniques,Wookjae Heo,1526.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0303/9783030369026.jpg,,163.0,Hardback,2019-12-28,Springer Nature Switzerland AG,English,3030369021,9783030369026,Cham,Switzerland,148.0,210.0,11.18,364.0
Statistical Literacy at School : Growth and Goals,Jane M. Watson,5634.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/8058/9780805853988.jpg,,320.0,Hardback,2006-08-04,Taylor & Francis Inc,English,0805853987,9780805853988,New York,United States,152.0,229.0,23.62,590.0
"The Educational Intelligent Economy : Big Data, Artificial Intelligence, Machine Learning and the Internet of Things in Education","Tavis D. Jules, Florin D. Salajan",2561.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7875/9781787548534.jpg,,304.0,Hardback,2019-11-25,Emerald Publishing Limited,English,1787548538,9781787548534,Bingley,United Kingdom,152.0,229.0,22.86,559.0
Driving Digital Transformation through Data and AI : A Practical Guide to Delivering Data Science and Machine Learning Products,"Alexander Borek, Nadine Prill",3510.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7896/9781789665413.jpg,,264.0,Hardback,2020-11-24,Kogan Page Ltd,English,1789665418,9781789665413,London,United Kingdom,164.0,240.0,25.0,640.0
"SAP Data Intelligence : Die Funktionen von SAP Data Hub, erweitert um Machine Learning","Alexander Kästner, Maren Bührig, Janina Holm, Dominik Klee, Michael Löbbert, Marcel Scherbinek, Vincent Schmid",2761.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9783/8362/9783836277242.jpg,,611.0,Hardback,2021-01-22,Rheinwerk Verlag GmbH,German,3836277247,9783836277242,,,,,,
Content-Based Image Classification : Efficient Machine Learning Using Robust Feature Extraction Techniques,Rik Das,3070.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3673/9780367371609.jpg,,180.0,Hardback,2020-12-30,Taylor & Francis Ltd,English,036737160X,9780367371609,London,United Kingdom,156.0,234.0,19.0,522.0
"Enabling Healthcare 4.0 for Pandemics : A Roadmap Using AI, Machine Learning, IoT and Cognitive Technologies","Abhinav Juneja, Vikram Bali, Sapna Juneja, Vishal Jain, Prashant Tyagi",4903.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/1197/9781119768791.jpg,,300.0,Hardback,2021-09-29,John Wiley & Sons Inc,English,1119768799,9781119768791,New York,United States,,,,
"Business Technology Development Strategy Bundle : Artificial Intelligence, Blockchain Technology and Machine Learning Applications for Business Systems",Bob Mather,784.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9223/9781922300980.jpg,,328.0,Hardback,2019-07-16,Bob Mather,English,1922300985,9781922300980,,,148.0,210.0,19.0,540.0
"Analytics of Life : Making Sense of Artificial Intelligence, Machine Learning and Data Analytic",Mert Damlapinar,1118.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/0983/9781098300975.jpg,,348.0,Hardback,2020-03-14,BookBaby,English,1098300971,9781098300975,Pennsauken,United States,160.0,235.0,30.48,742.0
Human-Machine Reconfigurations : Plans and Situated Actions,Lucy Suchman,2433.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5218/9780521858915.jpg,3.7,328.0,Hardback,2012-05-30,CAMBRIDGE UNIVERSITY PRESS,English,0521858917,9780521858915,Cambridge,United Kingdom,152.0,229.0,19.0,645.0
Animal Electricity : How We Learned That the Body and Brain Are Electric Machines,Robert B. Campenot,1409.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/6747/9780674736818.jpg,5.0,352.0,Hardback,2016-02-15,HARVARD UNIVERSITY PRESS,English,0674736818,9780674736818,"Cambridge, Mass",United States,156.0,235.0,33.02,635.03
Python : This Book Includes: Learn How To Develop Programs And Apps In 7 Days With Python Programming And Start Deep Hands-on Learning For Beginners of Data Science And Machine Learning.,"Oliver R Simpson, Code Developer Academy",909.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8010/9781801096980.jpg,,382.0,Hardback,2020-10-06,Sbram Ltd,English,1801096988,9781801096980,,,191.0,235.0,22.0,866.0
Python programming intermediate : A step by step guide about the programming language. Python machine learning blueprint. A clear and viable intermediate book for learning computer planning,James Taylor,846.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8011/9781801188920.jpg,,216.0,Hardback,2020-11-14,Charlie Creative Lab,English,1801188920,9781801188920,,,152.0,229.0,14.0,458.0
"Data Science for Beginners : 2 books in 1: Deep Learning for Beginners + Machine Learning with Python - A Crash Course to Go Through the Artificial Intelligence Revolution, Python and Neural Networks",Russel R Russo,1001.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8014/9781801478205.jpg,,378.0,Hardback,2020-12-17,Zanshin Honya Ltd,English,1801478201,9781801478205,,,,,,
"Artificial intelligence a modern approach : The application in healthcare, industry and more. The fascinating topic of machine learning and prediction machines. The complexity explained for beginners",Chris Baker,744.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9140/9781914063190.jpg,,156.0,Hardback,2020-10-20,Mikan Ltd,English,1914063198,9781914063190,,,152.0,229.0,11.0,381.0
Artificial Intelligence and Internet of Things : Applications in Smart Healthcare,"Lalit Mohan Goyal, Tanzila Saba, Amjad Rehman, Souad Larabi",4526.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3675/9780367562946.jpg,,440.0,Hardback,2021-05-18,Taylor & Francis Ltd,English,0367562944,9780367562946,London,United Kingdom,,,,
"Equity in Education,Students with Disabilities,Learning Difficulties and Disadvantages,Statistics and Indicators",Oecd,1564.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/2641/9789264103689.jpg,,168.0,Hardback,2004-06-30,Organization for Economic Co-operation and Development (OECD),English,9264103686,9789264103689,Paris,France,,,,
"Die beruflichen Anforderungen der Digitalisierung hinsichtlich formaler, physischer und kompetenzspezifischer Aspekte; Eine Analyse von Stellenanzeigen mittels Methoden des Text Minings und Machine Learnings",Daniel Christoph Stohr,1757.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9783/6317/9783631785485.jpg,,264.0,Hardback,2019-04-09,Peter Lang AG,German,3631785488,9783631785485,Bern,Switzerland,,,,
"Python Algorithms : A Complete Guide to Learn Python for Data Analysis, Machine Learning, and Coding from Scratch",Michael and Eric Scratch,721.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8013/9781801327008.jpg,,126.0,Hardback,2020-11-25,Luca Pino,English,1801327009,9781801327008,,,152.0,229.0,10.0,340.0
Python for Beginners : A Crash Course Guide for Machine Learning and Web Programming. Learn a Computer Language in Easy Steps with Coding Exercises,Jason Test,828.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/9189/9789918951444.jpg,,140.0,Hardback,2020-11-08,Independently Published,English,9918951443,9789918951444,,,152.0,229.0,10.0,358.0
"Artificial Intelligence Business Applications : How to Learn Applied Artificial Intelligence and Use Data Science for Business. Includes Data Analytics, Machine Learning for Business and Python",Oliver Tensor,694.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9142/9781914284069.jpg,,122.0,Hardback,2020-12-24,Smart Online Ltd,English,1914284062,9781914284069,,,,,,
"Artificial Intelligence Business Applications : How to Learn Applied Artificial Intelligence and Use Data Science for Business. Includes Data Analytics, Machine Learning for Business and Python",Oliver Tensor,675.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9140/9781914067112.jpg,,122.0,Hardback,2020-10-17,Smart Creative Publishing,English,1914067118,9781914067112,,,152.0,229.0,8.0,336.0
Python Programming for Beginners : A Comprehensive Crash Course with Practical Exercises to Quickly Learn Coding and Programming for Data Analysis and Machine Learning,Anthony Adams,806.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9140/9781914065378.jpg,,200.0,Hardback,2020-12-27,Big Book Ltd,English,1914065379,9781914065378,,,,,,
"Computer Programming for Beginners : This Book Includes: Python Machine Learning, SQL, LINUX. Learn to Code in 3 Different Languages",Zach Codings,703.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8010/9781801091497.jpg,,280.0,Hardback,2020-10-10,Zach Codings,English,1801091498,9781801091497,,,152.0,229.0,18.0,544.0
"Data Science for Business 2019 (2 BOOKS IN 1) : Master Data Analytics & Machine Learning with Optimized Marketing Strategies (Artificial Intelligence, Neural Networks, Algorithms & Predictive Modelling","Riley Adams, Matt Henderson",1114.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9896/9781989632109.jpg,,268.0,Hardback,2019-05-12,This Is Charlotte.,English,1989632106,9781989632109,,,216.0,279.0,16.0,907.0
Neural Networks : An Essential Beginners Guide to Artificial Neural Networks and their Role in Machine Learning and Artificial Intelligence,Herbert Jones,461.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6474/9781647483791.jpg,2.0,78.0,Hardback,2020-02-10,Bravex Publications,English,1647483794,9781647483791,,,152.0,229.0,6.0,277.0
"Data Science : A Comprehensive Guide to Data Science, Data Analytics, Data Mining, Artificial Intelligence, Machine Learning, and Big Data",Richard Hurley,854.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9521/9781952191237.jpg,,182.0,Hardback,2020-02-27,Ationa Publications,English,1952191238,9781952191237,,,152.0,229.0,11.0,413.0
"Artificial Intelligence in Real Estate Investing : How Artificial Intelligence and Machine Learning technology will cause a transformation in real estate business, marketing and finance for everyone",Bob Mather,948.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9223/9781922300829.jpg,,174.0,Hardback,2019-02-09,Bob Mather,English,1922300829,9781922300829,,,148.0,210.0,11.0,358.0
Python Programming for Beginners : A Computer Programming Crash Course to Start Coding Immediately. Discover the Importance of Artificial Intelligence and Machine Learning in The XXI Century,Philbert Shelton,1186.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8014/9781801478304.jpg,,190.0,Hardback,2020-12-13,Giovanna Bono,English,1801478309,9781801478304,,,,,,
